# ----------------------------------------,,,,
# Alexa Internet,,,,
# Competitive Intelligence,,,,
# Historical Traffic Trends: Pageviews Percent,,,,
# 4/22/2018 (MM/DD/YYYY UTC),,,,
# ----------------------------------------,,,,
Date,Metric,bitfinex.com,binance.com,coinbase.com
10/6/2016,Pageviews %,8.20E-07,,0.000015
10/7/2016,Pageviews %,0.0000019,,0.000015
10/8/2016,Pageviews %,0.0000034,,0.000023
10/9/2016,Pageviews %,0.0000032,,0.00002
10/10/2016,Pageviews %,2.00E-07,,1.2E-05
10/11/2016,Pageviews %,0.0000022,,0.000019
10/12/2016,Pageviews %,0.0000017,,0.000015
10/13/2016,Pageviews %,2.6E-06,,0.00002
10/14/2016,Pageviews %,9.60E-07,,0.000016
10/15/2016,Pageviews %,1.3E-06,,0.00002
10/16/2016,Pageviews %,0.0000011,,0.000019
10/17/2016,Pageviews %,9.60E-07,,0.000015
10/18/2016,Pageviews %,0.0000017,,0.000037
10/19/2016,Pageviews %,0.0000023,,0.000016
10/20/2016,Pageviews %,9.70E-07,,0.00002
10/21/2016,Pageviews %,0.0000036,,0.000016
10/22/2016,Pageviews %,0.0000043,,0.000022
10/23/2016,Pageviews %,0.0000051,,0.000017
10/24/2016,Pageviews %,8.70E-07,,0.000015
10/25/2016,Pageviews %,0.0000021,,0.000019
10/26/2016,Pageviews %,0.0000012,,0.0000272
10/27/2016,Pageviews %,7.90E-07,,0.0000092
10/28/2016,Pageviews %,9.10E-07,,0.000022
10/29/2016,Pageviews %,0.0000028,,0.000011
10/30/2016,Pageviews %,0.0000018,,0.0000097
10/31/2016,Pageviews %,6.00E-07,,0.0000083
11/1/2016,Pageviews %,0.000001,,0.00001
11/2/2016,Pageviews %,1.3E-06,,0.0000255
11/3/2016,Pageviews %,0.0000018,,0.0000236
11/4/2016,Pageviews %,0.000002,,0.0000087
11/5/2016,Pageviews %,1.3E-06,,0.00001
11/6/2016,Pageviews %,0.000002,,0.0000098
11/7/2016,Pageviews %,0.000001,,0.0000082
11/8/2016,Pageviews %,0.0000017,,0.00001
11/9/2016,Pageviews %,0.0000011,,0.000016
11/10/2016,Pageviews %,0.0000028,,0.000011
11/11/2016,Pageviews %,0.0000021,,0.0000271
11/12/2016,Pageviews %,0.0000034,,0.000013
11/13/2016,Pageviews %,0.000001,,0.00001
11/14/2016,Pageviews %,7.40E-07,,0.0000095
11/15/2016,Pageviews %,0.0000016,,0.0000246
